timestamp, x, y, orientation, signal strength, ping time
1477454517073370.00,0.78366262,0.01088842,0.02635447,-29,0.9
1477454517174660.00,0.80962569,0.01154939,0.02460914,-27,1.43
1477454517276090.00,0.835504,0.01218635,0.02513274,-29,0.89
1477454517360470.00,0.85277033,0.01261509,0.02356194,-30,0.98
1477454517453140.00,0.87451446,0.01309567,0.02146755,-28,0.92
1477454517555800.00,0.90060782,0.01365668,0.02007129,-31,1.59
1477454517646730.00,0.92691582,0.01414783,0.01727876,-42,0.91
1477454517746950.00,0.93569964,0.0142973,0.01623156,-37,0.84
1477454517857030.00,0.96213698,0.01471029,0.01518436,-32,0.89
1477454517991250.00,0.98861724,0.01510238,0.01448623,-27,1.09
1477454518081520.00,1.01518297,0.0154849,0.01396263,-28,3.55
1477454518170980.00,1.02396727,0.01560756,0.01413717,-29,0.9
1477454518272430.00,1.05479693,0.01605964,0.01518436,-29,1.02
1477454518372670.00,1.08144796,0.01644557,0.0132645,-30,1.22
1477454518477410.00,1.10366464,0.01673795,0.0132645,-33,1.37
1477454518574670.00,1.12148917,0.01697362,0.0127409,-29,0.93
1477454518660420.00,1.14818347,0.01730203,0.01204277,-29,1.1
1477454518762110.00,1.1751765,0.01762712,0.01169371,-29,0.98
1477454518873520.00,1.19321454,0.01783966,0.01186824,-23,1.07
1477454518991060.00,1.21133792,0.01805002,0.01151917,-24,1.37
1477454519077970.00,1.23824573,0.01836313,0.01134464,-25,0.93
1477454519175200.00,1.26532447,0.01864031,0.00959931,-27,1.34
1477454519275960.00,1.27440774,0.01872828,0.00994838,-31,2.65
1477454519372250.00,1.30148637,0.01901886,0.01082104,-31,1.04
1477454519473620.00,1.32856536,0.01927956,0.00802851,-30,1.08
1477454519578640.00,1.35555959,0.01948134,0.00645772,-32,1.02
1477454519662040.00,1.37368369,0.01959838,0.00680678,-32,0.98
1477454519762030.00,1.39197838,0.01972933,0.00715585,-32,1.1
1477454519874920.00,1.41010261,0.01985114,0.00645772,-32,0.91
1477454519973460.00,1.43743813,0.02002769,0.00698132,-29,1.34
1477454520072010.00,1.4649868,0.02021921,0.00750492,-29,0.93
1477454520171350.00,1.48328137,0.02035812,0.00750492,-30,0.91
1477454520275630.00,1.51078725,0.02057664,0.00837758,-29,1.51
1477454520364320.00,1.52920973,0.02072614,0.00785398,-30,0.91
1477454520464400.00,1.5568434,0.02095204,0.00890118,-31,0.91
1477454520569010.00,1.58460498,0.02118852,0.00802851,-29,1.28
1477454520664750.00,1.60315537,0.02134234,0.00872665,-29,0.94
1477454520763700.00,1.62174833,0.02150862,0.00890118,-30,1.19
1477454520866240.00,1.64963794,0.02173906,0.00802851,-39,1.14
1477454520963700.00,1.67752743,0.02197437,0.00855211,-34,0.93
